3.1
427
0 0   5 12
6 0   6 4
0 13   7 20
0 21   5 29
0 30   4 34
0 35   8 45
0 46   3 57
4 46   8 55
0 58   7 65
8 58   8 68
0 66   6 75
0 76   2 76
0 77   8 86
0 87   2 94
3 87   5 90
6 87   6 89
0 95   6 98
0 99   8 106
0 107   0 110
1 107   2 112
3 107   4 111
0 113   7 117
0 118   8 129
0 130   6 136
0 137   5 142
6 137   7 138
0 143   8 145
0 146   4 152
5 146   6 146
0 153   7 165
8 153   8 165
0 166   0 179
1 166   4 175
5 166   5 168
6 166   7 178
0 180   8 193
0 194   0 196
1 194   1 203
2 194   5 197
2 198   7 208
0 209   7 215
0 216   5 219
0 220   4 223
0 224   8 224
0 225   6 237
0 238   2 247
3 238   7 247
0 248   1 260
2 248   8 257
2 258   2 261
3 258   3 264
4 258   4 261
5 258   7 259
4 262   8 270
0 263   0 264
0 265   3 276
4 271   8 273
4 274   5 275
4 276   8 278
0 277   2 288
3 277   3 278
3 279   4 280
5 279   7 291
0 289   3 298
4 292   5 301
0 302   7 304
0 305   2 307
3 305   6 311
7 305   8 306
7 307   7 314
0 315   7 322
0 323   7 325
0 326   7 329
0 330   7 333
0 334   1 335
2 334   5 334
6 334   8 334
0 336   8 339
0 340   2 342
0 343   6 349
0 350   5 353
6 350   7 350
0 354   7 360
0 361   2 371
0 372   6 385
7 372   7 373
0 386   6 397
0 398   8 406
0 407   3 420
0 421   6 423
0 424   2 426
3 424   4 424

